NAME,DEPMAX,DEPMIN,DISTANCE
C0CHIL_HHE00.SAC.wa,777.3704,777.3704,358.3383
C0CHIL_HHN00.SAC.wa,742.4358,742.4358,358.3383
C0LAMA_HHE00.SAC.wa,13941.02,13941.02,103.2958
C0LAMA_HHN00.SAC.wa,10349.75,10349.75,103.2958
C0MCSU_HHE00.SAC.wa,394.1672,394.1672,406.8497
C0MCSU_HHN00.SAC.wa,577.1077,577.1077,406.8497
C0Q24A_HHE00.SAC.wa,1360.018,1360.018,243.7385
C0Q24A_HHN00.SAC.wa,1733.515,1733.515,243.7385
C0S22A_HHE00.SAC.wa,171.0898,171.0898,326.4879
C0S22A_HHN00.SAC.wa,231.3403,231.3403,326.4879
C0T25A_HHE00.SAC.wa,10200.38,10200.38,116.2378
C0T25A_HHN00.SAC.wa,6798.768,6798.768,116.2378
GSALQ1_BH100.SAC.wa,216.0724,216.0724,405.8989
GSALQ1_BH200.SAC.wa,338.7398,338.7398,405.8989
GSALQ1_HH100.SAC.wa,215.9874,215.9874,405.8989
GSALQ1_HH200.SAC.wa,338.6958,338.6958,405.8989
GSALQ2_BH100.SAC.wa,222.7219,222.7219,405.8989
GSALQ2_BH200.SAC.wa,334.5988,334.5988,405.8989
GSALQ2_HH100.SAC.wa,221.9628,221.9628,405.8989
GSALQ2_HH200.SAC.wa,333.1064,333.1064,405.8989
GSASA1_HH100.SAC.wa,405.3125,405.3125,405.7427
GSASA1_HH200.SAC.wa,397.1031,397.1031,405.7427
GSASA2_HH100.SAC.wa,356.7308,356.7308,405.8309
GSASA2_HH200.SAC.wa,403.023,403.023,405.8309
GSASA3_HH100.SAC.wa,428.8435,428.8435,405.9151
GSASA3_HH200.SAC.wa,381.9359,381.9359,405.9151
GSASA4_HH100.SAC.wa,283.3237,283.3237,406.2155
GSASA4_HH200.SAC.wa,363.3997,363.3997,406.2155
GSASA5_HH100.SAC.wa,283.0964,283.0964,405.9497
GSASA5_HH200.SAC.wa,361.2531,361.2531,405.9497
GSASA6_HH100.SAC.wa,239.5199,239.5199,405.7279
GSASA6_HH200.SAC.wa,372.4499,372.4499,405.7279
GSASL8_BH100.SAC.wa,392.9279,392.9279,405.5862
GSASL8_BH200.SAC.wa,144.0641,144.0641,405.5862
GSASL9_BH100.SAC.wa,464.3876,464.3876,405.5867
GSASL9_BH110.SAC.wa,318.5633,318.5633,405.5739
GSASL9_BH200.SAC.wa,270.1415,270.1415,405.5867
GSASL9_BH210.SAC.wa,406.4533,406.4533,405.5739
GSASL9_HH100.SAC.wa,463.5571,463.5571,405.5867
GSASL9_HH110.SAC.wa,316.8759,316.8759,405.5739
GSASL9_HH200.SAC.wa,270.8584,270.8584,405.5867
GSASL9_HH210.SAC.wa,405.5337,405.5337,405.5739
GSKS28_HH100.SAC.wa,1980.716,1980.716,459.1662
GSKS28_HH200.SAC.wa,1855.612,1855.612,459.1662
GSOK038HH100.SAC.wa,5548.687,5548.687,406.8755
GSOK038HH200.SAC.wa,6353.386,6353.386,406.8755
GSVEA1_BH100.SAC.wa,139.353,139.353,405.8839
GSVEA1_BH200.SAC.wa,342.0618,342.0618,405.8839
GSVEA1_HH100.SAC.wa,139.8262,139.8262,405.8839
GSVEA1_HH200.SAC.wa,343.6673,343.6673,405.8839
GSVEA2_BH100.SAC.wa,316.9821,316.9821,405.8848
GSVEA2_BH200.SAC.wa,300.5826,300.5826,405.8848
GSVEA2_HH100.SAC.wa,320.4232,320.4232,405.8848
GSVEA2_HH200.SAC.wa,302.3546,302.3546,405.8848
IUANMO_BH100.SAC.wa,498.6975,498.6975,405.582
IUANMO_BH110.SAC.wa,198.5413,198.5413,405.582
IUANMO_BH200.SAC.wa,195.4089,195.4089,405.582
IUANMO_BH210.SAC.wa,327.4368,327.4368,405.582
IUANMO_HH100.SAC.wa,496.5135,496.5135,405.582
IUANMO_HH110.SAC.wa,198.0877,198.0877,405.582
IUANMO_HH200.SAC.wa,194.3074,194.3074,405.582
IUANMO_HH210.SAC.wa,327.6186,327.6186,405.582
N4KSCO_HH100.SAC.wa,7288.767,7288.767,181.0249
N4KSCO_HH200.SAC.wa,6709.281,6709.281,181.0249
N4MSTX_HH100.SAC.wa,1391.995,1391.995,385.928
N4MSTX_HH200.SAC.wa,1207.979,1207.979,385.928
N4R32B_HH100.SAC.wa,1604.048,1604.048,405.6113
N4R32B_HH200.SAC.wa,1457.47,1457.47,405.6113
O2ALVA_HHE__.SAC.wa,1697.697,1697.697,392.3211
O2ALVA_HHN__.SAC.wa,2984.756,2984.756,392.3211
O2FREE_HHE__.SAC.wa,2757.397,2757.397,349.2502
O2FREE_HHN__.SAC.wa,2468.938,2468.938,349.2502
O2FW03_HHE__.SAC.wa,3376.201,3376.201,368.3671
O2FW03_HHN__.SAC.wa,4047.579,4047.579,368.3671
O2FW06_HHE__.SAC.wa,1710.786,1710.786,426.7599
O2FW06_HHN__.SAC.wa,1689.214,1689.214,426.7599
O2KS08_HHE__.SAC.wa,1958.811,1958.811,459.7951
O2KS08_HHN__.SAC.wa,1169.227,1169.227,459.7951
O2SC12_HHE__.SAC.wa,1124.701,1124.701,440.9324
O2SC12_HHN__.SAC.wa,1429.206,1429.206,440.9324
O2SC15_HHE__.SAC.wa,83.30791,83.30791,384.8552
O2SC15_HHN__.SAC.wa,4678.963,4678.963,384.8552
O2SC16_HHE__.SAC.wa,3384.937,3384.937,420.0148
O2SC16_HHN__.SAC.wa,3250.229,3250.229,420.0148
OKAMES_HHE__.SAC.wa,3664.897,3664.897,458.6276
OKAMES_HHN__.SAC.wa,3391.528,3391.528,458.6276
OKCSTR_HHE__.SAC.wa,221.2571,221.2571,446.2401
OKCSTR_HHN__.SAC.wa,205.9604,205.9604,446.2401
OKELIS_HHE__.SAC.wa,3683.32,3683.32,366.4766
OKELIS_HHN__.SAC.wa,3800.461,3800.461,366.4766
OKHTCH_HHE__.SAC.wa,871.1475,871.1475,458.3586
OKHTCH_HHN__.SAC.wa,1256.753,1256.753,458.3586
OKNOKA_HHE__.SAC.wa,3721.682,3721.682,385.8687
OKNOKA_HHN__.SAC.wa,4031.859,4031.859,385.8687
TXDRZT_HH100.SAC.wa,4999.265,4999.265,277.1374
TXDRZT_HH200.SAC.wa,3768.802,3768.802,277.1374
TXPH02_HH100.SAC.wa,4195.092,4195.092,251.1861
TXPH02_HH200.SAC.wa,3999.165,3999.165,251.1861
TXRTBA_HH100.SAC.wa,7360.231,7360.231,116.5781
TXRTBA_HH200.SAC.wa,6324.528,6324.528,116.5781
TXSMWD_HH100.SAC.wa,3224.257,3224.257,367.6835
TXSMWD_HH200.SAC.wa,3897.485,3897.485,367.6835
USAMTX_BH100.SAC.wa,2542.053,2542.053,312.4529
USAMTX_BH200.SAC.wa,2477.205,2477.205,312.4529
USCBKS_BH100.SAC.wa,3556.964,3556.964,336.3761
USCBKS_BH200.SAC.wa,4146.41,4146.41,336.3761
USISCO_BH100.SAC.wa,493.3223,493.3223,338.8987
USISCO_BH200.SAC.wa,385.8111,385.8111,338.8987
USOGNE_BH100.SAC.wa,1167.189,1167.189,401.623
USOGNE_BH200.SAC.wa,2075.517,2075.517,401.623
USSDCO_BH100.SAC.wa,823.9252,823.9252,210.2321
USSDCO_BH200.SAC.wa,427.8682,427.8682,210.2321
YXUNM2_HHE__.SAC.wa,2646.07,2646.07,167.4049
YXUNM2_HHN__.SAC.wa,2444.859,2444.859,167.4049
YXUNM3_HHE__.SAC.wa,1073.123,1073.123,180.0292
YXUNM3_HHN__.SAC.wa,1223.034,1223.034,180.0292
YXUNM5_HHE__.SAC.wa,3552.799,3552.799,148.6213
YXUNM5_HHN__.SAC.wa,6234.224,6234.224,148.6213
