NAME,DEPMAX,DEPMIN,DISTANCE
C0CHIL_HHE00.SAC.wa,-871.5953,-871.5953,358.3383
C0CHIL_HHN00.SAC.wa,-872.9163,-872.9163,358.3383
C0LAMA_HHE00.SAC.wa,-9225.933,-9225.933,103.2958
C0LAMA_HHN00.SAC.wa,-8971.192,-8971.192,103.2958
C0MCSU_HHE00.SAC.wa,-452.8886,-452.8886,406.8497
C0MCSU_HHN00.SAC.wa,-573.4014,-573.4014,406.8497
C0Q24A_HHE00.SAC.wa,-1216.562,-1216.562,243.7385
C0Q24A_HHN00.SAC.wa,-1604.801,-1604.801,243.7385
C0S22A_HHE00.SAC.wa,-241.6727,-241.6727,326.4879
C0S22A_HHN00.SAC.wa,-214.6444,-214.6444,326.4879
C0T25A_HHE00.SAC.wa,-10587.05,-10587.05,116.2378
C0T25A_HHN00.SAC.wa,-4728.198,-4728.198,116.2378
GSALQ1_BH100.SAC.wa,-345.0764,-345.0764,405.8989
GSALQ1_BH200.SAC.wa,-310.4759,-310.4759,405.8989
GSALQ1_HH100.SAC.wa,-344.0383,-344.0383,405.8989
GSALQ1_HH200.SAC.wa,-308.7601,-308.7601,405.8989
GSALQ2_BH100.SAC.wa,-355.8488,-355.8488,405.8989
GSALQ2_BH200.SAC.wa,-308.312,-308.312,405.8989
GSALQ2_HH100.SAC.wa,-354.3955,-354.3955,405.8989
GSALQ2_HH200.SAC.wa,-306.953,-306.953,405.8989
GSASA1_HH100.SAC.wa,-515.3159,-515.3159,405.7427
GSASA1_HH200.SAC.wa,-379.5819,-379.5819,405.7427
GSASA2_HH100.SAC.wa,-477.2993,-477.2993,405.8309
GSASA2_HH200.SAC.wa,-335.7401,-335.7401,405.8309
GSASA3_HH100.SAC.wa,-489.0946,-489.0946,405.9151
GSASA3_HH200.SAC.wa,-348.2755,-348.2755,405.9151
GSASA4_HH100.SAC.wa,-379.8829,-379.8829,406.2155
GSASA4_HH200.SAC.wa,-312.0191,-312.0191,406.2155
GSASA5_HH100.SAC.wa,-393.0617,-393.0617,405.9497
GSASA5_HH200.SAC.wa,-326.4107,-326.4107,405.9497
GSASA6_HH100.SAC.wa,-374.6027,-374.6027,405.7279
GSASA6_HH200.SAC.wa,-269.6354,-269.6354,405.7279
GSASL8_BH100.SAC.wa,-583.2446,-583.2446,405.5862
GSASL8_BH200.SAC.wa,-186.549,-186.549,405.5862
GSASL9_BH100.SAC.wa,-332.1836,-332.1836,405.5867
GSASL9_BH110.SAC.wa,-442.032,-442.032,405.5739
GSASL9_BH200.SAC.wa,-389.0279,-389.0279,405.5867
GSASL9_BH210.SAC.wa,-276.3539,-276.3539,405.5739
GSASL9_HH100.SAC.wa,-329.8414,-329.8414,405.5867
GSASL9_HH110.SAC.wa,-442.0767,-442.0767,405.5739
GSASL9_HH200.SAC.wa,-387.4688,-387.4688,405.5867
GSASL9_HH210.SAC.wa,-276.2782,-276.2782,405.5739
GSKS28_HH100.SAC.wa,-1811.122,-1811.122,459.1662
GSKS28_HH200.SAC.wa,-2144.966,-2144.966,459.1662
GSOK038HH100.SAC.wa,-5532.38,-5532.38,406.8755
GSOK038HH200.SAC.wa,-7097.735,-7097.735,406.8755
GSVEA1_BH100.SAC.wa,-135.4878,-135.4878,405.8839
GSVEA1_BH200.SAC.wa,-521.3624,-521.3624,405.8839
GSVEA1_HH100.SAC.wa,-136.4056,-136.4056,405.8839
GSVEA1_HH200.SAC.wa,-521.9835,-521.9835,405.8839
GSVEA2_BH100.SAC.wa,-450.372,-450.372,405.8848
GSVEA2_BH200.SAC.wa,-270.157,-270.157,405.8848
GSVEA2_HH100.SAC.wa,-450.4586,-450.4586,405.8848
GSVEA2_HH200.SAC.wa,-271.0596,-271.0596,405.8848
IUANMO_BH100.SAC.wa,-325.9754,-325.9754,405.582
IUANMO_BH110.SAC.wa,-165.438,-165.438,405.582
IUANMO_BH200.SAC.wa,-147.735,-147.735,405.582
IUANMO_BH210.SAC.wa,-503.2538,-503.2538,405.582
IUANMO_HH100.SAC.wa,-325.2552,-325.2552,405.582
IUANMO_HH110.SAC.wa,-165.206,-165.206,405.582
IUANMO_HH200.SAC.wa,-147.1324,-147.1324,405.582
IUANMO_HH210.SAC.wa,-503.6662,-503.6662,405.582
N4KSCO_HH100.SAC.wa,-7629.892,-7629.892,181.0249
N4KSCO_HH200.SAC.wa,-6431.445,-6431.445,181.0249
N4MSTX_HH100.SAC.wa,-1753.74,-1753.74,385.928
N4MSTX_HH200.SAC.wa,-1280.798,-1280.798,385.928
N4R32B_HH100.SAC.wa,-1742.039,-1742.039,405.6113
N4R32B_HH200.SAC.wa,-1576.09,-1576.09,405.6113
O2ALVA_HHE__.SAC.wa,-2389.685,-2389.685,392.3211
O2ALVA_HHN__.SAC.wa,-2039.792,-2039.792,392.3211
O2FREE_HHE__.SAC.wa,-3825.046,-3825.046,349.2502
O2FREE_HHN__.SAC.wa,-3116.177,-3116.177,349.2502
O2FW03_HHE__.SAC.wa,-3522.871,-3522.871,368.3671
O2FW03_HHN__.SAC.wa,-3042.061,-3042.061,368.3671
O2FW06_HHE__.SAC.wa,-1614.561,-1614.561,426.7599
O2FW06_HHN__.SAC.wa,-1382.089,-1382.089,426.7599
O2KS08_HHE__.SAC.wa,-1602.709,-1602.709,459.7951
O2KS08_HHN__.SAC.wa,-995.7913,-995.7913,459.7951
O2SC12_HHE__.SAC.wa,-1498.873,-1498.873,440.9324
O2SC12_HHN__.SAC.wa,-1731.912,-1731.912,440.9324
O2SC15_HHE__.SAC.wa,-87.55028,-87.55028,384.8552
O2SC15_HHN__.SAC.wa,-5439.132,-5439.132,384.8552
O2SC16_HHE__.SAC.wa,-3670.52,-3670.52,420.0148
O2SC16_HHN__.SAC.wa,-3412.558,-3412.558,420.0148
OKAMES_HHE__.SAC.wa,-3358.927,-3358.927,458.6276
OKAMES_HHN__.SAC.wa,-5423.745,-5423.745,458.6276
OKCSTR_HHE__.SAC.wa,-235.8827,-235.8827,446.2401
OKCSTR_HHN__.SAC.wa,-263.2966,-263.2966,446.2401
OKELIS_HHE__.SAC.wa,-3232.812,-3232.812,366.4766
OKELIS_HHN__.SAC.wa,-5295.678,-5295.678,366.4766
OKHTCH_HHE__.SAC.wa,-951.2304,-951.2304,458.3586
OKHTCH_HHN__.SAC.wa,-1256.968,-1256.968,458.3586
OKNOKA_HHE__.SAC.wa,-3805.08,-3805.08,385.8687
OKNOKA_HHN__.SAC.wa,-3263.77,-3263.77,385.8687
TXDRZT_HH100.SAC.wa,-6277.561,-6277.561,277.1374
TXDRZT_HH200.SAC.wa,-4270.55,-4270.55,277.1374
TXPH02_HH100.SAC.wa,-3995.61,-3995.61,251.1861
TXPH02_HH200.SAC.wa,-2922.094,-2922.094,251.1861
TXRTBA_HH100.SAC.wa,-5426.078,-5426.078,116.5781
TXRTBA_HH200.SAC.wa,-6218.556,-6218.556,116.5781
TXSMWD_HH100.SAC.wa,-2420.096,-2420.096,367.6835
TXSMWD_HH200.SAC.wa,-5251.752,-5251.752,367.6835
USAMTX_BH100.SAC.wa,-2938.582,-2938.582,312.4529
USAMTX_BH200.SAC.wa,-1920.692,-1920.692,312.4529
USCBKS_BH100.SAC.wa,-3829.996,-3829.996,336.3761
USCBKS_BH200.SAC.wa,-4243.188,-4243.188,336.3761
USISCO_BH100.SAC.wa,-503.2438,-503.2438,338.8987
USISCO_BH200.SAC.wa,-380.61,-380.61,338.8987
USOGNE_BH100.SAC.wa,-1505.443,-1505.443,401.623
USOGNE_BH200.SAC.wa,-1904.022,-1904.022,401.623
USSDCO_BH100.SAC.wa,-635.335,-635.335,210.2321
USSDCO_BH200.SAC.wa,-458.295,-458.295,210.2321
YXUNM2_HHE__.SAC.wa,-3494.209,-3494.209,167.4049
YXUNM2_HHN__.SAC.wa,-2045.644,-2045.644,167.4049
YXUNM3_HHE__.SAC.wa,-1421.873,-1421.873,180.0292
