Distance,RayParameter,TravelTime
115.4,1.924,1123.64
115.5,1.924,1123.83
115.6,1.924,1124.02
115.7,1.924,1124.21
115.8,1.924,1124.41
115.9,1.924,1124.60
116,1.924,1124.79
116.1,1.924,1124.98
116.2,1.924,1125.18
116.3,1.924,1125.37
116.4,1.924,1125.56
116.5,1.924,1125.75
116.6,1.924,1125.95
116.7,1.924,1126.14
116.8,1.924,1126.33
116.9,1.924,1126.52
117,1.924,1126.72
117.1,1.924,1126.91
117.2,1.924,1127.10
117.3,1.924,1127.29
117.4,1.924,1127.48
117.5,1.924,1127.68
117.6,1.924,1127.87
117.7,1.924,1128.06
117.8,1.924,1128.25
117.9,1.924,1128.45
118,1.924,1128.64
118.1,1.924,1128.83
118.2,1.924,1129.02
118.3,1.924,1129.22
118.4,1.923,1129.41
118.5,1.923,1129.60
118.6,1.923,1129.79
118.7,1.923,1129.99
118.8,1.923,1130.18
118.9,1.923,1130.37
119,1.923,1130.56
119.1,1.923,1130.75
119.2,1.923,1130.95
119.3,1.923,1131.14
119.4,1.923,1131.33
119.5,1.923,1131.52
119.6,1.923,1131.72
119.7,1.923,1131.91
119.8,1.923,1132.10
119.9,1.922,1132.29
120,1.922,1132.49
120.1,1.922,1132.68
120.2,1.922,1132.87
120.3,1.922,1133.06
120.4,1.922,1133.25
120.5,1.922,1133.45
120.6,1.922,1133.64
120.7,1.922,1133.83
120.8,1.922,1134.02
120.9,1.921,1134.22
121,1.921,1134.41
121.1,1.921,1134.60
121.2,1.921,1134.79
121.3,1.921,1134.98
121.4,1.921,1135.18
121.5,1.921,1135.37
121.6,1.921,1135.56
121.7,1.921,1135.75
121.8,1.920,1135.94
121.9,1.920,1136.14
122,1.920,1136.33
122.1,1.920,1136.52
122.2,1.920,1136.71
122.3,1.920,1136.90
122.4,1.920,1137.10
122.5,1.919,1137.29
122.6,1.919,1137.48
122.7,1.919,1137.67
122.8,1.919,1137.86
122.9,1.919,1138.06
123,1.919,1138.25
123.1,1.919,1138.44
123.2,1.918,1138.63
123.3,1.918,1138.82
123.4,1.918,1139.01
123.5,1.918,1139.21
123.6,1.918,1139.40
123.7,1.917,1139.59
123.8,1.917,1139.78
123.9,1.917,1139.97
124,1.917,1140.17
124.1,1.917,1140.36
124.2,1.917,1140.55
124.3,1.916,1140.74
124.4,1.916,1140.93
124.5,1.916,1141.12
124.6,1.916,1141.32
124.7,1.916,1141.51
124.8,1.915,1141.70
124.9,1.915,1141.89
125,1.915,1142.08
125.1,1.915,1142.27
125.2,1.914,1142.46
125.3,1.914,1142.66
125.4,1.914,1142.85
125.5,1.914,1143.04
125.6,1.913,1143.23
125.7,1.913,1143.42
125.8,1.913,1143.61
125.9,1.913,1143.80
126,1.912,1143.99
126.1,1.912,1144.19
126.2,1.912,1144.38
126.3,1.912,1144.57
126.4,1.911,1144.76
126.5,1.911,1144.95
126.6,1.911,1145.14
126.7,1.911,1145.33
126.8,1.910,1145.52
126.9,1.910,1145.72
127,1.910,1145.91
127.1,1.909,1146.10
127.2,1.909,1146.29
127.3,1.909,1146.48
127.4,1.908,1146.67
127.5,1.908,1146.86
127.6,1.908,1147.05
127.7,1.908,1147.24
127.8,1.907,1147.43
127.9,1.907,1147.62
128,1.907,1147.81
128.1,1.906,1148.00
128.2,1.906,1148.20
128.3,1.905,1148.39
128.4,1.905,1148.58
128.5,1.905,1148.77
128.6,1.904,1148.96
128.7,1.904,1149.15
128.8,1.904,1149.34
128.9,1.903,1149.53
129,1.903,1149.72
129.1,1.903,1149.91
129.2,1.902,1150.10
129.3,1.902,1150.29
129.4,1.901,1150.48
129.5,1.901,1150.67
129.6,1.900,1150.86
129.7,1.900,1151.05
129.8,1.900,1151.24
129.9,1.899,1151.43
130,1.899,1151.62
130.1,1.898,1151.81
130.2,1.898,1152.00
130.3,1.897,1152.19
130.4,1.897,1152.38
130.5,1.897,1152.57
130.6,1.896,1152.76
130.7,1.896,1152.95
130.8,1.895,1153.14
130.9,1.895,1153.33
131,1.894,1153.52
131.1,1.894,1153.71
131.2,1.893,1153.89
131.3,1.893,1154.08
131.4,1.892,1154.27
131.5,1.892,1154.46
131.6,1.891,1154.65
131.7,1.890,1154.84
131.8,1.890,1155.03
131.9,1.889,1155.22
132,1.889,1155.41
132.1,1.888,1155.60
132.2,1.888,1155.79
132.3,1.887,1155.97
132.4,1.887,1156.16
132.5,1.886,1156.35
132.6,1.885,1156.54
132.7,1.885,1156.73
132.8,1.884,1156.92
132.9,1.884,1157.11
133,1.883,1157.29
133.1,1.882,1157.48
133.2,1.882,1157.67
133.3,1.881,1157.86
133.4,1.880,1158.05
133.5,1.880,1158.23
133.6,1.879,1158.42
133.7,1.878,1158.61
133.8,1.878,1158.80
133.9,1.877,1158.99
134,1.876,1159.17
134.1,1.875,1159.36
134.2,1.875,1159.55
134.3,1.874,1159.74
134.4,1.873,1159.92
134.5,1.873,1160.11
134.6,1.872,1160.30
134.7,1.871,1160.48
134.8,1.870,1160.67
134.9,1.869,1160.86
135,1.869,1161.05
135.1,1.868,1161.23
135.2,1.867,1161.42
135.3,1.866,1161.61
135.4,1.865,1161.79
135.5,1.865,1161.98
135.6,1.864,1162.17
135.7,1.863,1162.35
135.8,1.862,1162.54
135.9,1.861,1162.72
136,1.860,1162.91
136.1,1.859,1163.10
136.2,1.858,1163.28
136.3,1.857,1163.47
136.4,1.856,1163.65
136.5,1.856,1163.84
136.6,1.855,1164.02
136.7,1.854,1164.21
136.8,1.853,1164.40
136.9,1.852,1164.58
137,1.851,1164.77
137.1,1.850,1164.95
137.2,1.849,1165.14
137.3,1.848,1165.32
137.4,1.847,1165.51
137.5,1.845,1165.69
137.6,1.844,1165.87
137.7,1.843,1166.06
137.8,1.842,1166.24
137.9,1.841,1166.43
138,1.840,1166.61
138.1,1.839,1166.80
138.2,1.838,1166.98
138.3,1.837,1167.16
138.4,1.836,1167.35
138.5,1.835,1167.53
138.6,1.834,1167.71
138.7,1.832,1167.90
138.8,1.831,1168.08
138.9,1.830,1168.26
139,1.829,1168.45
139.1,1.828,1168.63
139.2,1.826,1168.81
139.3,1.825,1168.99
139.4,1.824,1169.18
139.5,1.823,1169.36
139.6,1.821,1169.54
139.7,1.820,1169.72
139.8,1.819,1169.90
139.9,1.817,1170.09
140,1.816,1170.27
140.1,1.815,1170.45
140.2,1.813,1170.63
140.3,1.812,1170.81
140.4,1.810,1170.99
140.5,1.809,1171.17
140.6,1.807,1171.36
140.7,1.806,1171.54
140.8,1.805,1171.72
140.9,1.803,1171.90
141,1.801,1172.08
141.1,1.800,1172.26
141.2,1.798,1172.44
141.3,1.797,1172.62
141.4,1.795,1172.80
141.5,1.794,1172.98
141.6,1.792,1173.16
141.7,1.790,1173.33
141.8,1.789,1173.51
141.9,1.787,1173.69
142,1.785,1173.87
142.1,1.784,1174.05
142.2,1.782,1174.23
142.3,1.780,1174.41
142.4,1.778,1174.58
142.5,1.777,1174.76
142.6,1.775,1174.94
142.7,1.773,1175.12
142.8,1.771,1175.29
142.9,1.769,1175.47
143,1.768,1175.65
143.1,1.766,1175.82
143.2,1.764,1176.00
143.3,1.762,1176.18
143.4,1.760,1176.35
143.5,1.758,1176.53
143.6,1.756,1176.70
143.7,1.754,1176.88
143.8,1.752,1177.06
143.9,1.750,1177.23
144,1.748,1177.41
144.1,1.746,1177.58
144.2,1.744,1177.75
144.3,1.742,1177.93
144.4,1.739,1178.10
144.5,1.737,1178.28
144.6,1.735,1178.45
144.7,1.733,1178.62
144.8,1.731,1178.80
144.9,1.728,1178.97
145,1.726,1179.14
145.1,1.724,1179.31
145.2,1.721,1179.49
145.3,1.719,1179.66
145.4,1.717,1179.83
145.5,1.714,1180.00
145.6,1.712,1180.17
145.7,1.709,1180.34
145.8,1.707,1180.52
145.9,1.705,1180.69
146,1.702,1180.86
146.1,1.699,1181.03
146.2,1.697,1181.20
146.3,1.694,1181.37
146.4,1.692,1181.54
146.5,1.689,1181.70
146.6,1.687,1181.87
146.7,1.684,1182.04
146.8,1.681,1182.21
146.9,1.678,1182.38
147,1.676,1182.55
147.1,1.673,1182.71
147.2,1.670,1182.88
147.3,1.667,1183.05
147.4,1.665,1183.21
147.5,1.662,1183.38
147.6,1.659,1183.55
147.7,1.656,1183.71
147.8,1.653,1183.88
147.9,1.650,1184.04
148,1.647,1184.21
