Distance,RayParameter,TravelTime
145,3.385,1178.43
145,3.520,1178.43
145.1,3.324,1178.76
145.1,3.601,1178.79
145.2,3.275,1179.09
145.2,3.629,1179.15
145.3,3.235,1179.42
145.3,3.657,1179.51
145.4,3.187,1179.74
145.4,3.697,1179.88
145.5,3.169,1180.06
145.5,3.714,1180.25
145.6,3.141,1180.37
145.6,3.731,1180.62
145.7,3.109,1180.69
145.7,3.748,1181.00
145.8,3.084,1181.00
145.8,3.765,1181.37
145.9,3.063,1181.30
145.9,3.781,1181.75
146,3.038,1181.61
146,3.804,1182.13
146.1,3.012,1181.91
146.1,3.816,1182.51
146.2,2.989,1182.21
146.2,3.827,1182.89
146.3,2.973,1182.51
146.3,3.839,1183.28
146.4,2.953,1182.80
146.4,3.850,1183.66
146.5,2.932,1183.10
146.5,3.861,1184.04
146.6,2.909,1183.39
146.6,3.871,1184.43
146.7,2.891,1183.68
146.7,3.882,1184.82
146.8,2.876,1183.97
146.8,3.893,1185.21
146.9,2.858,1184.26
146.9,3.907,1185.60
147,2.839,1184.54
147,3.916,1185.99
147.1,2.819,1184.82
147.1,3.924,1186.38
147.2,2.799,1185.10
147.2,3.933,1186.77
147.3,2.785,1185.38
147.3,3.942,1187.17
147.4,2.768,1185.66
147.4,3.949,1187.56
147.5,2.750,1185.94
147.5,3.957,1187.96
147.6,2.731,1186.21
147.6,3.964,1188.35
147.7,2.712,1186.48
147.7,3.971,1188.75
147.8,2.696,1186.75
147.8,3.979,1189.15
147.9,2.679,1187.02
147.9,3.986,1189.55
148,2.664,1187.29
148,3.993,1189.94
148.1,2.648,1187.56
148.1,4.000,1190.34
148.2,2.630,1187.82
148.2,4.007,1190.74
148.3,2.613,1188.08
148.3,4.016,1191.15
148.4,2.602,1188.34
148.4,4.022,1191.55
148.5,2.591,1188.60
148.5,4.028,1191.95
148.6,2.578,1188.86
148.6,4.033,1192.35
148.7,2.564,1189.12
148.7,4.039,1192.76
148.8,2.549,1189.37
148.8,4.045,1193.16
148.9,2.534,1189.63
148.9,4.050,1193.57
149,2.519,1189.88
149,4.056,1193.97
149.1,2.510,1190.13
149.1,4.061,1194.38
149.2,2.503,1190.38
149.2,4.066,1194.78
149.3,2.493,1190.63
149.3,4.072,1195.19
149.4,2.483,1190.88
149.4,4.077,1195.60
149.5,2.472,1191.13
149.5,4.082,1196.01
149.6,2.461,1191.37
149.6,4.087,1196.41
149.7,2.449,1191.62
149.7,4.091,1196.82
149.8,2.436,1191.86
149.8,4.096,1197.23
149.9,2.425,1192.11
149.9,4.101,1197.64
150,2.418,1192.35
150,4.106,1198.05
150.1,2.413,1192.59
150.1,4.110,1198.46
150.2,2.406,1192.83
150.2,4.115,1198.87
150.3,2.398,1193.07
150.3,4.120,1199.29
150.4,2.390,1193.31
150.4,4.125,1199.70
150.5,2.381,1193.55
150.5,4.129,1200.11
150.6,2.372,1193.79
150.6,4.133,1200.52
150.7,2.362,1194.02
150.7,4.137,1200.94
150.8,2.352,1194.26
150.8,4.141,1201.35
150.9,2.342,1194.50
150.9,4.145,1201.77
151,2.332,1194.73
151,4.149,1202.18
151.1,2.327,1194.96
151.1,4.153,1202.60
151.2,2.323,1195.19
151.2,4.156,1203.01
151.3,2.318,1195.43
151.3,4.160,1203.43
151.4,2.312,1195.66
151.4,4.164,1203.84
151.5,2.305,1195.89
151.5,4.167,1204.26
151.6,2.298,1196.12
151.6,4.171,1204.68
151.7,2.290,1196.35
151.7,4.174,1205.09
151.8,2.283,1196.58
151.8,4.178,1205.51
151.9,2.275,1196.80
151.9,4.181,1205.93
152,2.267,1197.03
152,4.185,1206.35
152.1,2.258,1197.26
152.1,4.188,1206.77
152.2,2.250,1197.48
152.2,4.191,1207.19
152.3,2.241,1197.71
152.3,4.194,1207.61
152.4,2.238,1197.93
152.4,4.198,1208.02
152.5,2.235,1198.16
152.5,4.201,1208.44
152.6,2.230,1198.38
152.6,4.204,1208.86
152.7,2.226,1198.60
152.7,4.207,1209.29
152.8,2.220,1198.82
152.8,4.210,1209.71
152.9,2.215,1199.05
152.9,4.213,1210.13
153,2.209,1199.27
153,4.216,1210.55
153.1,2.203,1199.49
153.1,4.219,1210.97
153.2,2.196,1199.71
153.2,4.222,1211.39
153.3,2.190,1199.93
153.3,4.225,1211.82
153.4,2.183,1200.15
153.4,4.228,1212.24
