Distance,RayParameter,TravelTime
0,0.000,511.67
0.1,0.010,511.67
0.2,0.019,511.68
0.3,0.029,511.68
0.4,0.038,511.68
0.5,0.048,511.69
0.6,0.058,511.69
0.7,0.067,511.70
0.8,0.077,511.71
0.9,0.086,511.71
1,0.096,511.72
1.1,0.106,511.73
1.2,0.115,511.74
1.3,0.125,511.76
1.4,0.134,511.77
1.5,0.144,511.78
1.6,0.154,511.80
1.7,0.163,511.81
1.8,0.173,511.83
1.9,0.182,511.85
2,0.192,511.87
2.1,0.202,511.89
2.2,0.211,511.91
2.3,0.221,511.93
2.4,0.230,511.95
2.5,0.240,511.97
2.6,0.249,512.00
2.7,0.259,512.02
2.8,0.269,512.05
2.9,0.278,512.08
3,0.288,512.11
3.1,0.297,512.14
3.2,0.307,512.17
3.3,0.316,512.20
3.4,0.326,512.23
3.5,0.336,512.26
3.6,0.345,512.30
3.7,0.355,512.33
3.8,0.364,512.37
3.9,0.374,512.40
4,0.383,512.44
4.1,0.393,512.48
4.2,0.402,512.52
4.3,0.412,512.56
4.4,0.421,512.60
4.5,0.431,512.65
4.6,0.441,512.69
4.7,0.450,512.73
4.8,0.460,512.78
4.9,0.469,512.83
5,0.479,512.87
5.1,0.488,512.92
5.2,0.498,512.97
5.3,0.507,513.02
5.4,0.517,513.07
5.5,0.526,513.12
5.6,0.536,513.18
5.7,0.545,513.23
5.8,0.555,513.29
5.9,0.564,513.34
6,0.573,513.40
6.1,0.583,513.46
6.2,0.592,513.52
6.3,0.602,513.58
6.4,0.611,513.64
6.5,0.621,513.70
6.6,0.630,513.76
6.7,0.640,513.82
6.8,0.649,513.89
6.9,0.659,513.95
7,0.668,514.02
7.1,0.677,514.09
7.2,0.687,514.15
7.3,0.696,514.22
7.4,0.706,514.29
7.5,0.715,514.37
7.6,0.724,514.44
7.7,0.734,514.51
7.8,0.743,514.58
7.9,0.753,514.66
8,0.762,514.73
8.1,0.771,514.81
8.2,0.781,514.89
8.3,0.790,514.97
8.4,0.799,515.05
8.5,0.809,515.13
8.6,0.818,515.21
8.7,0.827,515.29
8.8,0.837,515.37
8.9,0.846,515.46
9,0.855,515.54
9.1,0.865,515.63
9.2,0.874,515.72
9.3,0.883,515.80
9.4,0.892,515.89
9.5,0.902,515.98
9.6,0.911,516.07
9.7,0.920,516.16
9.8,0.929,516.26
9.9,0.939,516.35
10,0.948,516.44
10.1,0.957,516.54
10.2,0.966,516.64
10.3,0.976,516.73
10.4,0.985,516.83
10.5,0.994,516.93
10.6,1.003,517.03
10.7,1.012,517.13
10.8,1.022,517.23
10.9,1.031,517.34
11,1.040,517.44
11.1,1.049,517.54
11.2,1.058,517.65
11.3,1.067,517.75
11.4,1.077,517.86
11.5,1.086,517.97
11.6,1.095,518.08
11.7,1.104,518.19
11.8,1.113,518.30
11.9,1.122,518.41
12,1.131,518.52
12.1,1.140,518.64
12.2,1.149,518.75
12.3,1.158,518.87
12.4,1.167,518.98
12.5,1.176,519.10
12.6,1.186,519.22
12.7,1.195,519.34
12.8,1.204,519.46
12.9,1.213,519.58
13,1.222,519.70
13.1,1.231,519.82
13.2,1.240,519.95
13.3,1.249,520.07
13.4,1.257,520.20
13.5,1.266,520.32
13.6,1.275,520.45
13.7,1.284,520.58
13.8,1.293,520.71
13.9,1.302,520.84
14,1.311,520.97
14.1,1.320,521.10
14.2,1.329,521.23
14.3,1.338,521.36
14.4,1.347,521.50
14.5,1.355,521.63
14.6,1.364,521.77
14.7,1.373,521.91
14.8,1.382,522.04
14.9,1.391,522.18
15,1.400,522.32
15.1,1.408,522.46
15.2,1.417,522.60
15.3,1.426,522.75
15.4,1.435,522.89
15.5,1.444,523.03
15.6,1.452,523.18
15.7,1.461,523.32
15.8,1.470,523.47
15.9,1.478,523.62
16,1.487,523.77
16.1,1.496,523.92
16.2,1.505,524.07
16.3,1.513,524.22
16.4,1.522,524.37
16.5,1.531,524.52
16.6,1.539,524.67
16.7,1.548,524.83
16.8,1.556,524.98
16.9,1.565,525.14
17,1.574,525.30
17.1,1.582,525.45
17.2,1.591,525.61
17.3,1.599,525.77
17.4,1.608,525.93
17.5,1.616,526.09
17.6,1.625,526.26
17.7,1.634,526.42
17.8,1.642,526.58
17.9,1.651,526.75
18,1.659,526.91
18.1,1.668,527.08
18.2,1.676,527.25
18.3,1.684,527.41
18.4,1.693,527.58
18.5,1.701,527.75
18.6,1.710,527.92
18.7,1.718,528.10
18.8,1.727,528.27
18.9,1.735,528.44
19,1.743,528.61
19.1,1.752,528.79
19.2,1.760,528.96
19.3,1.768,529.14
19.4,1.777,529.32
19.5,1.785,529.50
19.6,1.793,529.68
19.7,1.802,529.86
19.8,1.810,530.04
19.9,1.818,530.22
20,1.826,530.40
20.1,1.835,530.58
20.2,1.843,530.77
