Distance,RayParameter,TravelTime
0,19.172,0.00
0.1,19.172,1.92
0.2,19.172,3.83
0.3,19.171,5.75
0.4,19.171,7.67
0.5,19.171,9.59
0.6,19.171,11.50
0.7,19.171,13.42
0.8,19.171,15.34
0.9,19.171,17.25
1,19.171,19.17
1.1,19.171,21.09
1.2,19.170,23.01
1.3,19.170,24.92
1.4,13.754,26.77
1.5,13.754,28.15
1.6,13.754,29.53
1.7,13.754,30.90
1.8,13.754,32.28
1.9,13.753,33.65
2,13.753,35.03
2.1,13.753,36.40
2.2,13.753,37.78
2.3,13.753,39.15
2.4,13.753,40.53
2.5,13.752,41.90
2.6,13.752,43.28
2.7,13.752,44.65
2.8,13.752,46.03
2.9,13.751,47.40
3,13.751,48.78
3.1,13.751,50.15
3.2,13.750,51.53
3.3,13.750,52.90
3.4,13.750,54.28
3.5,13.749,55.65
3.6,13.749,57.03
3.7,13.749,58.40
3.8,13.748,59.78
3.9,13.748,61.15
4,13.748,62.53
4.1,13.747,63.90
4.2,13.747,65.28
4.3,13.746,66.65
4.4,13.746,68.03
4.5,13.745,69.40
4.6,13.745,70.78
4.7,13.744,72.15
4.8,13.744,73.53
4.9,13.743,74.90
5,13.743,76.27
5.1,13.742,77.65
5.2,13.742,79.02
5.3,13.741,80.40
5.4,13.741,81.77
5.5,13.740,83.14
5.6,13.739,84.52
5.7,13.739,85.89
5.8,13.738,87.27
5.9,13.738,88.64
6,13.737,90.01
6.1,13.736,91.39
6.2,13.736,92.76
6.3,13.735,94.13
6.4,13.734,95.51
6.5,13.734,96.88
6.6,13.733,98.25
6.7,13.732,99.63
6.8,13.731,101.00
6.9,13.731,102.37
7,13.730,103.75
7.1,13.729,105.12
7.2,13.728,106.49
7.3,13.727,107.87
7.4,13.727,109.24
7.5,13.726,110.61
7.6,13.725,111.98
7.7,13.724,113.36
7.8,13.723,114.73
7.9,13.722,116.10
8,13.721,117.47
8.1,13.720,118.85
8.2,13.719,120.22
8.3,13.719,121.59
8.4,13.718,122.96
8.5,13.717,124.33
8.6,13.716,125.70
8.7,13.715,127.08
8.8,13.714,128.45
8.9,13.713,129.82
9,13.712,131.19
9.1,13.711,132.56
9.2,13.709,133.93
9.3,13.708,135.30
9.4,13.707,136.67
9.5,13.706,138.04
9.6,13.705,139.41
9.7,13.704,140.78
9.8,13.703,142.16
9.9,13.702,143.53
10,13.701,144.90
10.1,13.699,146.27
10.2,13.698,147.64
10.3,13.697,149.01
10.4,13.696,150.38
10.5,13.695,151.74
10.6,13.693,153.11
10.7,13.692,154.48
10.8,13.691,155.85
10.9,13.690,157.22
11,13.688,158.59
11.1,13.687,159.96
11.2,13.686,161.33
11.3,13.685,162.70
11.4,13.683,164.06
11.5,13.682,165.43
11.6,13.681,166.80
11.7,13.679,168.17
11.8,13.678,169.54
11.9,13.676,170.90
12,13.675,172.27
12.1,13.674,173.64
12.2,13.672,175.01
12.3,13.671,176.37
12.4,13.669,177.74
12.5,13.668,179.11
12.6,13.666,180.47
12.7,13.665,181.84
12.8,13.663,183.21
12.9,13.662,184.57
13,13.660,185.94
13.1,13.659,187.31
13.2,13.657,188.67
13.3,13.656,190.04
13.4,13.654,191.40
13.5,13.652,192.77
13.6,13.651,194.13
13.7,13.649,195.50
13.8,13.648,196.86
13.9,13.646,198.23
14,13.644,199.59
14.1,13.643,200.96
14.2,13.641,202.32
14.3,13.639,203.68
14.4,13.638,205.05
14.5,13.636,206.41
14.6,13.634,207.78
14.7,13.632,209.14
14.8,13.631,210.50
14.9,13.629,211.87
15,13.627,213.23
15.1,13.175,214.58
15.2,13.157,215.90
15.3,13.138,217.22
15.4,13.120,218.53
15.5,13.102,219.84
15.6,13.084,221.15
15.7,13.068,222.46
15.8,13.051,223.76
15.9,13.034,225.07
16,13.016,226.37
16.1,12.999,227.67
16.2,12.827,228.96
16.3,12.790,230.24
16.4,12.755,231.52
16.5,12.723,232.79
16.6,12.695,234.06
16.7,12.666,235.33
16.8,12.638,236.60
16.9,12.609,237.86
17,12.581,239.12
17.1,12.555,240.38
17.2,12.530,241.63
17.3,12.505,242.88
17.4,12.479,244.13
17.5,12.453,245.38
17.6,12.428,246.62
17.7,12.404,247.86
17.8,12.379,249.10
17.9,12.355,250.34
18,12.330,251.57
18.1,12.306,252.80
18.2,12.281,254.03
18.3,12.258,255.26
18.4,12.233,256.49
18.5,11.006,257.66
18.6,11.000,258.76
18.7,10.994,259.86
18.8,10.988,260.96
18.9,10.982,262.06
19,10.975,263.15
19.1,10.968,264.25
19.2,10.961,265.35
19.3,10.954,266.44
19.4,10.947,267.54
19.5,10.940,268.63
19.6,10.933,269.73
19.7,10.925,270.82
19.8,10.917,271.91
19.9,10.909,273.00
20,10.900,274.09
20.1,10.892,275.18
20.2,10.883,276.27
20.3,10.874,277.36
20.4,10.865,278.45
20.5,10.856,279.53
20.6,10.846,280.62
20.7,10.836,281.70
20.8,10.827,282.79
20.9,10.817,283.87
21,10.807,284.95
21.1,10.797,286.03
21.2,10.786,287.11
21.3,10.776,288.19
21.4,10.765,289.26
21.5,10.754,290.34
21.6,10.742,291.41
21.7,10.730,292.49
21.8,10.719,293.56
21.9,10.708,294.63
22,10.697,295.70
22.1,10.685,296.77
22.2,10.673,297.84
22.3,10.661,298.91
22.4,10.648,299.97
22.5,10.635,301.03
22.6,10.622,302.10
22.7,10.609,303.16
22.8,10.596,304.22
22.9,10.582,305.28
23,10.569,306.34
23.1,10.555,307.39
23.2,10.543,308.45
23.3,10.530,309.50
23.4,10.517,310.55
23.5,10.503,311.60
23.6,9.151,312.64
23.7,9.148,313.56
23.8,9.145,314.47
23.9,9.141,315.39
24,9.138,316.30
24.1,9.134,317.21
24.2,9.131,318.13
24.3,9.127,319.04
24.4,9.123,319.95
24.5,9.119,320.87
24.6,9.116,321.78
24.7,9.112,322.69
24.8,9.108,323.60
24.9,9.104,324.51
25,9.100,325.42
25.1,9.096,326.33
25.2,9.091,327.24
25.3,9.087,328.15
25.4,9.082,329.06
25.5,9.078,329.96
25.6,9.073,330.87
25.7,9.069,331.78
25.8,9.064,332.69
25.9,9.059,333.59
26,9.054,334.50
26.1,9.049,335.40
26.2,9.044,336.31
26.3,9.039,337.21
26.4,9.034,338.12
26.5,9.029,339.02
26.6,9.024,339.92
26.7,9.018,340.82
26.8,9.013,341.72
26.9,9.007,342.63
27,9.002,343.53
27.1,8.996,344.43
27.2,8.990,345.33
27.3,8.984,346.22
27.4,8.978,347.12
27.5,8.972,348.02
27.6,8.966,348.92
27.7,8.960,349.81
27.8,8.954,350.71
27.9,8.948,351.60
28,8.942,352.50
28.1,8.936,353.39
28.2,8.929,354.29
28.3,8.922,355.18
28.4,8.916,356.07
28.5,8.909,356.96
28.6,8.902,357.85
28.7,8.895,358.74
28.8,8.889,359.63
28.9,8.882,360.52
29,8.875,361.41
29.1,8.868,362.29
29.2,8.860,363.18
29.3,8.858,364.07
29.4,8.857,364.95
29.5,8.856,365.84
29.6,8.855,366.72
29.7,8.854,367.61
29.8,8.853,368.49
29.9,8.851,369.38
30,8.849,370.26
30.1,8.847,371.15
30.2,8.845,372.03
30.3,8.842,372.92
30.4,8.840,373.80
30.5,8.837,374.69
30.6,8.834,375.57
30.7,8.832,376.45
30.8,8.829,377.34
30.9,8.826,378.22
31,8.822,379.10
31.1,8.819,379.98
31.2,8.816,380.87
31.3,8.813,381.75
31.4,8.809,382.63
31.5,8.805,383.51
31.6,8.802,384.39
31.7,8.798,385.27
31.8,8.795,386.15
31.9,8.791,387.03
32,8.787,387.91
32.1,8.783,388.79
32.2,8.779,389.66
32.3,8.775,390.54
32.4,8.771,391.42
32.5,8.767,392.30
32.6,8.762,393.17
32.7,8.758,394.05
32.8,8.754,394.92
32.9,8.749,395.80
33,8.745,396.67
33.1,8.741,397.55
33.2,8.736,398.42
33.3,8.731,399.29
33.4,8.727,400.17
33.5,8.722,401.04
33.6,8.717,401.91
33.7,8.708,402.78
33.8,8.701,403.65
33.9,8.695,404.52
34,8.689,405.39
34.1,8.683,406.26
34.2,8.677,407.13
34.3,8.671,408.00
34.4,8.665,408.86
34.5,8.659,409.73
34.6,8.653,410.60
34.7,8.646,411.46
34.8,8.640,412.32
34.9,8.634,413.19
35,8.628,414.05
35.1,8.622,414.91
35.2,8.615,415.78
35.3,8.609,416.64
35.4,8.603,417.50
35.5,8.597,418.36
35.6,8.591,419.22
35.7,8.585,420.08
35.8,8.578,420.93
35.9,8.572,421.79
36,8.567,422.65
36.1,8.562,423.50
36.2,8.556,424.36
36.3,8.550,425.22
36.4,8.544,426.07
36.5,8.538,426.92
36.6,8.532,427.78
36.7,8.525,428.63
36.8,8.519,429.48
36.9,8.513,430.33
37,8.506,431.19
37.1,8.500,432.04
37.2,8.493,432.89
37.3,8.487,433.73
37.4,8.480,434.58
37.5,8.474,435.43
37.6,8.467,436.28
37.7,8.461,437.12
37.8,8.454,437.97
37.9,8.447,438.82
38,8.440,439.66
38.1,8.434,440.50
38.2,8.428,441.35
38.3,8.423,442.19
38.4,8.416,443.03
38.5,8.410,443.87
38.6,8.404,444.71
38.7,8.397,445.55
38.8,8.391,446.39
38.9,8.384,447.23
39,8.377,448.07
39.1,8.370,448.91
39.2,8.363,449.74
39.3,8.357,450.58
39.4,8.350,451.41
39.5,8.343,452.25
39.6,8.336,453.08
39.7,8.329,453.92
39.8,8.322,454.75
39.9,8.315,455.58
40,8.308,456.41
40.1,8.301,457.24
40.2,8.294,458.07
40.3,8.289,458.90
40.4,8.282,459.73
40.5,8.276,460.56
40.6,8.269,461.38
40.7,8.263,462.21
40.8,8.256,463.04
40.9,8.249,463.86
41,8.242,464.69
41.1,8.235,465.51
41.2,8.228,466.33
41.3,8.221,467.16
41.4,8.214,467.98
41.5,8.207,468.80
41.6,8.200,469.62
41.7,8.193,470.44
41.8,8.186,471.26
41.9,8.178,472.08
42,8.171,472.89
42.1,8.164,473.71
42.2,8.158,474.53
42.3,8.152,475.34
42.4,8.145,476.16
42.5,8.138,476.97
42.6,8.131,477.78
42.7,8.124,478.60
42.8,8.117,479.41
42.9,8.110,480.22
43,8.103,481.03
43.1,8.096,481.84
43.2,8.089,482.65
43.3,8.082,483.46
43.4,8.074,484.27
43.5,8.067,485.07
43.6,8.060,485.88
43.7,8.052,486.69
43.8,8.045,487.49
43.9,8.038,488.30
44,8.030,489.10
44.1,8.025,489.90
44.2,8.018,490.70
44.3,8.011,491.50
44.4,8.004,492.31
44.5,7.997,493.11
44.6,7.990,493.90
44.7,7.982,494.70
44.8,7.975,495.50
44.9,7.967,496.30
45,7.961,497.09
45.1,7.953,497.89
45.2,7.946,498.69
45.3,7.939,499.48
45.4,7.931,500.27
45.5,7.923,501.07
45.6,7.916,501.86
45.7,7.908,502.65
45.8,7.901,503.44
45.9,7.895,504.23
46,7.889,505.02
46.1,7.882,505.81
46.2,7.875,506.60
46.3,7.867,507.38
46.4,7.860,508.17
46.5,7.853,508.95
46.6,7.845,509.74
46.7,7.838,510.52
46.8,7.831,511.31
46.9,7.823,512.09
47,7.816,512.87
47.1,7.808,513.65
47.2,7.801,514.43
47.3,7.793,515.21
47.4,7.785,515.99
47.5,7.778,516.77
47.6,7.772,517.55
47.7,7.766,518.32
47.8,7.759,519.10
47.9,7.752,519.88
48,7.744,520.65
48.1,7.737,521.42
48.2,7.730,522.20
48.3,7.722,522.97
48.4,7.715,523.74
48.5,7.708,524.51
48.6,7.700,525.28
48.7,7.693,526.05
48.8,7.685,526.82
48.9,7.678,527.59
49,7.670,528.36
49.1,7.662,529.12
49.2,7.655,529.89
49.3,7.649,530.66
49.4,7.642,531.42
49.5,7.635,532.18
49.6,7.628,532.95
49.7,7.621,533.71
49.8,7.613,534.47
49.9,7.606,535.23
50,7.598,535.99
50.1,7.591,536.75
50.2,7.583,537.51
50.3,7.576,538.27
50.4,7.568,539.03
50.5,7.561,539.78
50.6,7.553,540.54
50.7,7.546,541.29
50.8,7.538,542.05
50.9,7.532,542.80
51,7.525,543.55
51.1,7.518,544.31
51.2,7.511,545.06
51.3,7.504,545.81
51.4,7.496,546.56
51.5,7.489,547.31
51.6,7.482,548.06
51.7,7.475,548.80
51.8,7.467,549.55
51.9,7.459,550.30
52,7.452,551.04
52.1,7.444,551.79
52.2,7.437,552.53
52.3,7.429,553.27
52.4,7.421,554.02
52.5,7.415,554.76
52.6,7.409,555.50
52.7,7.402,556.24
52.8,7.395,556.98
52.9,7.388,557.72
53,7.381,558.46
53.1,7.373,559.20
53.2,7.366,559.93
53.3,7.358,560.67
53.4,7.351,561.40
53.5,7.343,562.14
53.6,7.335,562.87
53.7,7.327,563.61
53.8,7.320,564.34
53.9,7.312,565.07
54,7.304,565.80
54.1,7.298,566.53
54.2,7.291,567.26
54.3,7.284,567.99
54.4,7.277,568.72
54.5,7.270,569.44
54.6,7.262,570.17
54.7,7.255,570.90
54.8,7.248,571.62
54.9,7.241,572.35
55,7.233,573.07
55.1,7.226,573.79
55.2,7.218,574.52
55.3,7.210,575.24
55.4,7.203,575.96
55.5,7.195,576.68
55.6,7.188,577.40
55.7,7.182,578.12
55.8,7.176,578.83
55.9,7.169,579.55
56,7.161,580.27
56.1,7.154,580.98
56.2,7.147,581.70
56.3,7.139,582.41
56.4,7.132,583.13
56.5,7.124,583.84
56.6,7.117,584.55
56.7,7.109,585.26
56.8,7.101,585.97
56.9,7.094,586.68
57,7.086,587.39
57.1,7.078,588.10
57.2,7.071,588.81
57.3,7.064,589.51
57.4,7.057,590.22
57.5,7.049,590.92
57.6,7.042,591.63
57.7,7.034,592.33
57.8,7.026,593.04
57.9,7.018,593.74
58,7.011,594.44
58.1,7.003,595.14
58.2,6.995,595.84
58.3,6.987,596.54
58.4,6.979,597.24
58.5,6.971,597.94
58.6,6.966,598.63
58.7,6.961,599.33
58.8,6.954,600.02
58.9,6.948,600.72
59,6.941,601.41
59.1,6.934,602.11
59.2,6.927,602.80
59.3,6.920,603.49
59.4,6.913,604.18
59.5,6.905,604.88
59.6,6.898,605.57
59.7,6.891,606.26
59.8,6.884,606.94
59.9,6.876,607.63
60,6.869,608.32
60.1,6.862,609.01
60.2,6.855,609.69
60.3,6.848,610.38
60.4,6.841,611.06
60.5,6.834,611.75
60.6,6.826,612.43
60.7,6.819,613.11
60.8,6.811,613.79
60.9,6.804,614.47
61,6.796,615.15
61.1,6.789,615.83
61.2,6.781,616.51
61.3,6.773,617.19
61.4,6.765,617.87
61.5,6.758,618.54
61.6,6.751,619.22
61.7,6.743,619.89
61.8,6.736,620.57
61.9,6.728,621.24
62,6.721,621.91
62.1,6.713,622.58
62.2,6.706,623.25
62.3,6.698,623.92
62.4,6.691,624.59
62.5,6.683,625.26
62.6,6.675,625.93
62.7,6.667,626.60
62.8,6.659,627.26
62.9,6.653,627.93
63,6.648,628.59
63.1,6.642,629.26
63.2,6.636,629.92
63.3,6.629,630.59
63.4,6.622,631.25
63.5,6.615,631.91
63.6,6.608,632.57
63.7,6.601,633.23
63.8,6.594,633.89
63.9,6.587,634.55
64,6.580,635.21
64.1,6.572,635.87
64.2,6.565,636.52
64.3,6.557,637.18
64.4,6.550,637.83
64.5,6.543,638.49
64.6,6.537,639.14
64.7,6.530,639.80
64.8,6.522,640.45
64.9,6.515,641.10
65,6.508,641.75
65.1,6.500,642.40
65.2,6.493,643.05
65.3,6.485,643.70
65.4,6.478,644.35
65.5,6.470,645.00
65.6,6.463,645.64
65.7,6.455,646.29
65.8,6.448,646.93
65.9,6.442,647.58
66,6.434,648.22
66.1,6.427,648.87
66.2,6.420,649.51
66.3,6.412,650.15
66.4,6.405,650.79
66.5,6.397,651.43
66.6,6.390,652.07
66.7,6.382,652.71
66.8,6.375,653.35
66.9,6.368,653.98
67,6.360,654.62
67.1,6.353,655.26
67.2,6.347,655.89
67.3,6.340,656.53
67.4,6.333,657.16
67.5,6.326,657.79
67.6,6.319,658.42
67.7,6.312,659.06
67.8,6.304,659.69
67.9,6.297,660.32
68,6.289,660.95
68.1,6.282,661.57
68.2,6.274,662.20
68.3,6.267,662.83
68.4,6.259,663.46
68.5,6.252,664.08
68.6,6.246,664.71
68.7,6.239,665.33
68.8,6.232,665.95
68.9,6.225,666.58
69,6.217,667.20
69.1,6.210,667.82
69.2,6.203,668.44
69.3,6.196,669.06
69.4,6.189,669.68
69.5,6.181,670.30
69.6,6.174,670.92
69.7,6.166,671.53
69.8,6.158,672.15
69.9,6.152,672.76
70,6.145,673.38
70.1,6.138,673.99
70.2,6.131,674.61
70.3,6.124,675.22
70.4,6.117,675.83
70.5,6.109,676.44
70.6,6.102,677.05
70.7,6.094,677.66
70.8,6.087,678.27
70.9,6.079,678.88
71,6.071,679.49
71.1,6.064,680.10
71.2,6.057,680.70
71.3,6.051,681.31
71.4,6.044,681.91
71.5,6.036,682.52
71.6,6.029,683.12
71.7,6.022,683.72
71.8,6.014,684.32
71.9,6.007,684.92
72,5.999,685.52
72.1,5.992,686.12
72.2,5.984,686.72
72.3,5.977,687.32
72.4,5.969,687.92
72.5,5.962,688.51
72.6,5.955,689.11
72.7,5.948,689.71
72.8,5.941,690.30
72.9,5.934,690.89
73,5.926,691.49
73.1,5.919,692.08
73.2,5.911,692.67
73.3,5.904,693.26
73.4,5.897,693.85
73.5,5.889,694.44
73.6,5.882,695.03
73.7,5.874,695.62
73.8,5.867,696.20
73.9,5.860,696.79
74,5.853,697.38
74.1,5.845,697.96
74.2,5.838,698.55
74.3,5.830,699.13
74.4,5.823,699.71
74.5,5.815,700.29
74.6,5.807,700.87
74.7,5.800,701.45
74.8,5.792,702.03
74.9,5.784,702.61
75,5.777,703.19
75.1,5.769,703.77
75.2,5.762,704.34
75.3,5.754,704.92
75.4,5.747,705.50
75.5,5.739,706.07
75.6,5.732,706.64
75.7,5.724,707.22
75.8,5.716,707.79
75.9,5.709,708.36
76,5.701,708.93
76.1,5.693,709.50
76.2,5.686,710.07
76.3,5.681,710.64
76.4,5.674,711.20
76.5,5.668,711.77
76.6,5.661,712.34
76.7,5.654,712.90
76.8,5.647,713.47
76.9,5.640,714.03
77,5.632,714.60
77.1,5.625,715.16
77.2,5.618,715.72
77.3,5.611,716.28
77.4,5.604,716.84
77.5,5.596,717.40
77.6,5.589,717.96
77.7,5.581,718.52
77.8,5.573,719.08
77.9,5.566,719.64
78,5.558,720.19
78.1,5.551,720.75
78.2,5.543,721.30
78.3,5.535,721.86
78.4,5.527,722.41
78.5,5.520,722.96
78.6,5.512,723.51
78.7,5.505,724.06
78.8,5.499,724.61
78.9,5.492,725.16
79,5.485,725.71
79.1,5.477,726.26
79.2,5.470,726.81
79.3,5.463,727.36
79.4,5.456,727.90
79.5,5.449,728.45
79.6,5.441,728.99
79.7,5.434,729.53
79.8,5.426,730.08
79.9,5.419,730.62
80,5.411,731.16
80.1,5.404,731.70
80.2,5.396,732.24
80.3,5.389,732.78
80.4,5.381,733.32
80.5,5.373,733.86
80.6,5.366,734.39
80.7,5.358,734.93
80.8,5.350,735.47
80.9,5.342,736.00
81,5.335,736.53
81.1,5.327,737.07
81.2,5.318,737.60
81.3,5.310,738.13
81.4,5.302,738.66
81.5,5.294,739.19
81.6,5.286,739.72
81.7,5.278,740.25
81.8,5.269,740.78
81.9,5.261,741.30
82,5.253,741.83
82.1,5.245,742.35
82.2,5.239,742.88
82.3,5.233,743.40
82.4,5.226,743.92
82.5,5.219,744.45
82.6,5.212,744.97
82.7,5.205,745.49
82.8,5.198,746.01
82.9,5.191,746.53
83,5.184,747.05
83.1,5.176,747.57
83.2,5.169,748.08
83.3,5.162,748.60
83.4,5.154,749.12
83.5,5.145,749.63
83.6,5.137,750.14
83.7,5.129,750.66
83.8,5.121,751.17
83.9,5.113,751.68
84,5.105,752.19
84.1,5.097,752.70
84.2,5.089,753.21
84.3,5.081,753.72
84.4,5.073,754.23
84.5,5.066,754.74
84.6,5.058,755.24
84.7,5.050,755.75
84.8,5.043,756.25
84.9,5.035,756.76
85,5.027,757.26
85.1,5.019,757.76
85.2,5.011,758.26
85.3,5.003,758.76
85.4,4.995,759.26
85.5,4.986,759.76
85.6,4.977,760.26
85.7,4.969,760.76
85.8,4.960,761.25
85.9,4.952,761.75
86,4.944,762.24
86.1,4.936,762.74
86.2,4.928,763.23
86.3,4.919,763.72
86.4,4.911,764.21
86.5,4.903,764.71
86.6,4.895,765.20
86.7,4.888,765.68
86.8,4.880,766.17
86.9,4.872,766.66
87,4.864,767.15
87.1,4.856,767.63
87.2,4.848,768.12
87.3,4.840,768.60
87.4,4.832,769.09
87.5,4.824,769.57
87.6,4.817,770.05
87.7,4.809,770.53
87.8,4.802,771.01
87.9,4.794,771.49
88,4.787,771.97
88.1,4.779,772.45
88.2,4.771,772.93
88.3,4.763,773.40
88.4,4.755,773.88
88.5,4.747,774.36
88.6,4.739,774.83
88.7,4.731,775.30
88.8,4.723,775.78
88.9,4.715,776.25
89,4.707,776.72
89.1,4.699,777.19
89.2,4.691,777.66
89.3,4.684,778.13
89.4,4.676,778.60
89.5,4.668,779.06
89.6,4.660,779.53
89.7,4.651,779.99
89.8,4.643,780.46
89.9,4.643,780.92
90,4.643,781.39
90.1,4.643,781.85
90.2,4.642,782.32
90.3,4.642,782.78
90.4,4.642,783.25
90.5,4.641,783.71
90.6,4.641,784.17
90.7,4.640,784.64
90.8,4.640,785.10
90.9,4.639,785.57
91,4.638,786.03
91.1,4.637,786.49
91.2,4.637,786.96
91.3,4.636,787.42
91.4,4.635,787.88
91.5,4.634,788.35
91.6,4.633,788.81
91.7,4.632,789.27
91.8,4.631,789.74
91.9,4.630,790.20
92,4.628,790.66
92.1,4.627,791.13
92.2,4.626,791.59
92.3,4.625,792.05
92.4,4.623,792.51
92.5,4.622,792.98
92.6,4.620,793.44
92.7,4.619,793.90
92.8,4.617,794.36
92.9,4.616,794.82
93,4.614,795.28
93.1,4.612,795.75
93.2,4.611,796.21
93.3,4.609,796.67
93.4,4.607,797.13
93.5,4.606,797.59
93.6,4.604,798.05
93.7,4.602,798.51
93.8,4.600,798.97
93.9,4.598,799.43
94,4.596,799.89
94.1,4.594,800.35
94.2,4.592,800.81
94.3,4.590,801.27
94.4,4.588,801.73
94.5,4.586,802.19
94.6,4.584,802.64
94.7,4.582,803.10
94.8,4.579,803.56
94.9,4.577,804.02
95,4.575,804.48
95.1,4.573,804.93
95.2,4.570,805.39
95.3,4.568,805.85
95.4,4.566,806.30
95.5,4.563,806.76
95.6,4.561,807.22
95.7,4.558,807.67
95.8,4.556,808.13
95.9,4.554,808.58
96,4.551,809.04
96.1,4.549,809.49
96.2,4.546,809.95
96.3,4.543,810.40
96.4,4.541,810.86
96.5,4.538,811.31
96.6,4.536,811.76
96.7,4.533,812.22
96.8,4.530,812.67
96.9,4.527,813.12
97,4.525,813.58
97.1,4.522,814.03
97.2,4.519,814.48
97.3,4.516,814.93
97.4,4.514,815.38
97.5,4.511,815.84
97.6,4.508,816.29
97.7,4.505,816.74
97.8,4.502,817.19
97.9,4.499,817.64
98,4.497,818.09
98.1,4.494,818.54
98.2,4.491,818.99
98.3,4.488,819.44
98.4,4.485,819.88
98.5,4.482,820.33
98.6,4.479,820.78
98.7,4.476,821.23
98.8,4.472,821.68
98.9,4.469,822.12
99,4.466,822.57
99.1,4.463,823.02
99.2,4.460,823.46
99.3,4.457,823.91
99.4,4.454,824.35
99.5,4.450,824.80
99.6,4.447,825.24
99.7,,
99.8,,
99.9,,
100,,
100.1,,
100.2,,
100.3,,
100.4,,
100.5,,
100.6,,
100.7,,
100.8,,
100.9,,
101,,
101.1,,
101.2,,
101.3,,
101.4,,
101.5,,
101.6,,
101.7,,
101.8,,
101.9,,
102,,
102.1,,
102.2,,
102.3,,
102.4,,
102.5,,
